"type","date","open","close","high","volume","low"
"resistance",1537321800,6339.79,6336.9,6344.54,209.56610104000006,6321
"support",1537329000,6328.28,6328.95,6350.78,185.36425095000007,6325
"resistance",1537336200,6344.03,6339.17,6345,99.88892227000004,6330.73
"support",1537339800,6339.17,6346.48,6350,365.2415076400002,6318.5
"resistance",1537343400,6346.48,6339.98,6355,67.43153953999999,6339.98
"support",1537357800,6276.42,6286.81,6298.96,279.75414335,6258
"resistance",1537375800,6330.47,6322,6337.06,209.16192399,6316.49
"support",1537383000,6238.99,6413.35,6511,4832.6167482599985,6106.37
"resistance",1537390200,6434.53,6393.26,6444.81,318.20644121999993,6381.9
"support",1537397400,6375.06,6378.94,6388.5,171.91817133,6369.19
"resistance",1537404600,6414,6399.9,6417.54,196.49042672,6396.05
"support",1537411800,6389.7,6398.75,6405.1,162.55631382000004,6381.91
"resistance",1537415400,6398.75,6392.94,6403,141.30134428000002,6390.8
"support",1537422600,6390.81,6397.01,6402.82,86.98513704999999,6385.4
"resistance",1537429800,6406.07,6388,6407.89,262.42603397000005,6371.58
"support",1537437000,6386.99,6398,6398,99.71728456000002,6386
"resistance",1537447800,6425.01,6420,6425.01,210.57996340999998,6399.01
"support",1537458600,6407.84,6419.99,6419.99,204.99805502999993,6405.64
"resistance",1537462200,6419.98,6400.41,6419.99,389.01721576,6398.5
"support",1537465800,6400.42,6403.28,6406.19,310.61377574000005,6388
"resistance",1537473000,6419.99,6380.76,6434,760.8436359400001,6337
"support",1537476600,6380.76,6420.05,6432.98,383.62110265999996,6362
"resistance",1537498200,6554.07,6553.41,6560,350.13825836,6535.41
"support",1537509000,6529.97,6549,6550.15,142.18547090999996,6529.97
"resistance",1537523400,6695.48,6691.78,6719.82,335.81192893000014,6688
"support",1537527000,6691.73,6736.8,6736.8,337.64994697000003,6691
"resistance",1537530600,6736.8,6730.01,6765.41,553.5258473600002,6710
"support",1537534200,6729.93,6751.89,6774,548.41990765,6721
"resistance",1537537800,6751.88,6733.78,6753.1,597.5938327599998,6699.98
"support",1537545000,6689,6714.6,6725,585.2294528500001,6674
"resistance",1537548600,6714.59,6697.01,6716,368.58118669999993,6696.06
"support",1537552200,6697.01,6721.54,6725,410.70469000999987,6690.01
"resistance",1537563000,6765.77,6741.51,6765.77,617.7075082999999,6695
"support",1537570200,6728.97,6742.45,6750,225.96135539000002,6728
"resistance",1537577400,6786.53,6757.82,6800,388.4573198199999,6745.24
